id,text,sentiment
1476,This made my day,positive
1477,Satisfactory because shipping was fast,neutral
1478,It was okay ok,neutral
1479,Satisfactory,neutral
1480,One star so bad,negative
1481,Awful quality as the quality is great,negative
1482,Would not recommend,negative
1483,Exceeded my expectations because shipping was fast pleasant,positive
1484,Would not recommend 😡,negative
1485,Completely unsatisfied because it works well terrible!,negative
1486,Average product .,neutral
1487,"FYI, I love this product and it works well pleasant",positive
1488,Standard and it works well,neutral
1489,Terrible experience so packaging was good,negative
1490,Exceeded my expectations and packaging was good,positive
1491,I love this product as it works well,positive
1492,Best purchase ever so shipping was fast so good,positive
1493,No strong feelings,neutral
1494,Terrible experience as customer service helped dislike,negative
1495,Average product,neutral
1496,Completely unsatisfied so the quality is great,negative
1497,Very disappointed and customer service helped,negative
1498,Average product,neutral
1499,Would not recommend so shipping was fast,negative
1500,Terrible experience so customer service helped dislike,negative
1501,Five stars so shipping was fast great!,positive
1502,Would not recommend,negative
1503,Exceeded my expectations amazing,positive
1504,Top quality and great value,positive
1505,Worst purchase ever 👎,negative
1506,This ruined my day,negative
1507,This made my day because customer service helped pleasant,positive
1508,No strong feelings because it works well,neutral
1509,Would not recommend and shipping was fast so bad,negative
1510,Note: Awful quality,negative
1511,Best purchase ever so the quality is great,positive
1512,Will buy again great!,positive
1513,"FYI, I love this product because it works well",positive
1514,I hate this so shipping was fast,negative
1515,Satisfactory because shipping was fast,neutral
1516,Five stars 😊,positive
1517,Five stars and shipping was fast so good,positive
1518,Would not recommend as shipping was fast 👎,negative
1519,"Just saying, This made my day as the quality is great",positive
1520,So happy with the service because it works well 👍,positive
1521,Completely unsatisfied 👎,negative
1522,It was okay,neutral
1523,This ruined my day,negative
1524,Terrible experience and packaging was good,negative
1525,"FYI, One star",negative
1526,Exceeded my expectations and the quality is great,positive
1527,Would not recommend,negative
1528,Never buying again horrible,negative
1529,Top quality and great value so good,positive
1530,Best purchase ever,positive
1531,Awful quality and the quality is great,negative
1532,Terrible experience 😡,negative
1533,So happy with the service 👍,positive
1534,Very disappointed,negative
1535,Highly recommend it,positive
1536,So happy with the service,positive
1537,This made my day,positive
1538,"Just saying, Five stars so good",positive
1539,Best purchase ever,positive
1540,Five stars so it works well pleasant,positive
1541,Exceeded my expectations,positive
1542,Highly recommend it,positive
1543,Worst purchase ever dislike,negative
1544,Awful quality so it works well,negative
1545,Note: Best purchase ever and packaging was good,positive
1546,Awful quality because it works well,negative
1547,Highly recommend it and customer service helped loved it,positive
1548,One star,negative
1549,Terrible experience horrible,negative
1550,Five stars,positive
1551,No strong feelings so it works well,neutral
1552,Top quality and great value pleasant,positive
1553,This ruined my day so the quality is great dislike,negative
1554,No strong feelings and shipping was fast,neutral
1555,Completely unsatisfied because the quality is great awful,negative
1556,Worst purchase ever because packaging was good,negative
1557,So happy with the service,positive
1558,Awful quality horrible,negative
1559,This ruined my day because shipping was fast 😡,negative
1560,Five stars so customer service helped,positive
1561,Average product,neutral
1562,Completely unsatisfied so bad,negative
1563,Average product,neutral
1564,One star so packaging was good 😡,negative
1565,It works as expected,neutral
1566,One star as the quality is great,negative
1567,Very disappointed,negative
1568,Five stars and the quality is great,positive
1569,Completely unsatisfied because packaging was good,negative
1570,Neutral experience .,neutral
1571,Would not recommend so bad,negative
1572,Satisfactory because it works well,neutral
1573,Top quality and great value,positive
1574,Will buy again as the quality is great 👍,positive
1575,Completely unsatisfied and packaging was good so bad,negative
1576,It works as expected because customer service helped ,neutral
1577,One star,negative
1578,It was okay,neutral
1579,Note: Completely unsatisfied because customer service helped 😡,negative
1580,Worst purchase ever so it works well terrible!,negative
1581,Five stars as shipping was fast,positive
1582,Highly recommend it,positive
1583,This made my day amazing,positive
1584,Will buy again,positive
1585,I love this product,positive
1586,Best purchase ever because the quality is great so good,positive
1587,Exceeded my expectations and customer service helped,positive
1588,Awful quality,negative
1589,Best purchase ever,positive
1590,Top quality and great value,positive
1591,Exceeded my expectations amazing,positive
1592,Completely unsatisfied so shipping was fast dislike,negative
1593,Terrible experience,negative
1594,Five stars as shipping was fast 😊,positive
1595,Highly recommend it and the quality is great,positive
1596,Terrible experience and customer service helped awful,negative
1597,Never buying again as packaging was good 😡,negative
1598,Top quality and great value,positive
1599,One star horrible,negative
1600,Exceeded my expectations,positive
1601,Highly recommend it,positive
1602,I love this product,positive
1603,Neither good nor bad so it works well,neutral
1604,I love this product and shipping was fast,positive
1605,One star as shipping was fast,negative
1606,Awful quality,negative
1607,Completely unsatisfied because it works well,negative
1608,No strong feelings and the quality is great,neutral
1609,Never buying again,negative
1610,I love this product as it works well so good,positive
1611,Very disappointed,negative
1612,This made my day,positive
1613,No strong feelings,neutral
1614,Exceeded my expectations,positive
1615,Worst purchase ever as it works well horrible,negative
1616,"FYI, Worst purchase ever terrible!",negative
1617,Awful quality 👎,negative
1618,Never buying again dislike,negative
1619,Never buying again because the quality is great,negative
1620,Completely unsatisfied,negative
1621,Highly recommend it,positive
1622,Exceeded my expectations,positive
1623,Would not recommend so packaging was good dislike,negative
1624,This ruined my day awful,negative
1625,Exceeded my expectations and it works well,positive
1626,So happy with the service because packaging was good amazing,positive
1627,I love this product,positive
1628,I love this product amazing,positive
1629,Top quality and great value great!,positive
1630,Very disappointed 😡,negative
1631,Top quality and great value and it works well so good,positive
1632,Worst purchase ever and the quality is great terrible!,negative
1633,Exceeded my expectations loved it,positive
1634,I love this product,positive
1635,Worst purchase ever 👎,negative
1636,Neutral experience ,neutral
1637,This made my day,positive
1638,Exceeded my expectations so it works well,positive
1639,Will buy again,positive
1640,Terrible experience and the quality is great,negative
1641,Would not recommend and the quality is great,negative
1642,Best purchase ever great!,positive
1643,Satisfactory so-so,neutral
1644,It works as expected alright,neutral
1645,Best purchase ever as packaging was good pleasant,positive
1646,It works as expected and shipping was fast,neutral
1647,Never buying again,negative
1648,So happy with the service as it works well 😊,positive
1649,I hate this dislike,negative
1650,So happy with the service as packaging was good,positive
1651,Absolutely fantastic experience so good,positive
1652,Terrible experience and shipping was fast,negative
1653,Note: One star,negative
1654,Standard so customer service helped,neutral
1655,Very disappointed because customer service helped dislike,negative
1656,Never buying again so it works well terrible!,negative
1657,This ruined my day terrible!,negative
1658,Never buying again so it works well,negative
1659,Best purchase ever amazing,positive
1660,Very disappointed so the quality is great 👎,negative
1661,Never buying again 👎,negative
1662,Average product and customer service helped,neutral
1663,Terrible experience,negative
1664,Best purchase ever,positive
1665,Highly recommend it as it works well,positive
1666,Absolutely fantastic experience and packaging was good 😊,positive
1667,Will buy again 👍,positive
1668,Would not recommend,negative
1669,Awful quality,negative
1670,Would not recommend because the quality is great,negative
1671,Exceeded my expectations and packaging was good so good,positive
1672,Absolutely fantastic experience,positive
1673,"Just saying, Absolutely fantastic experience loved it",positive
1674,Completely unsatisfied,negative
1675,Exceeded my expectations because customer service helped,positive
1676,Will buy again and the quality is great,positive
1677,This ruined my day,negative
1678,Very disappointed horrible,negative
1679,Exceeded my expectations so good,positive
1680,Never buying again as packaging was good,negative
1681,One star and the quality is great so bad,negative
1682,Fine for the price because the quality is great ,neutral
1683,Five stars loved it,positive
1684,Terrible experience so bad,negative
1685,It works as expected so shipping was fast so-so,neutral
1686,Exceeded my expectations 😊,positive
1687,"Just saying, Will buy again amazing",positive
1688,I love this product,positive
1689,Will buy again so good,positive
1690,Satisfactory,neutral
1691,This ruined my day because it works well so bad,negative
1692,"Just saying, Absolutely fantastic experience as it works well 😊",positive
1693,Best purchase ever pleasant,positive
1694,"Just saying, Terrible experience dislike",negative
1695,Will buy again,positive
1696,Absolutely fantastic experience,positive
1697,"FYI, I hate this as the quality is great horrible",negative
1698,This ruined my day,negative
1699,Absolutely fantastic experience,positive
1700,I hate this and shipping was fast,negative
1701,"FYI, Will buy again so good",positive
1702,Worst purchase ever dislike,negative
1703,Worst purchase ever and it works well,negative
1704,One star,negative
1705,Five stars great!,positive
1706,Absolutely fantastic experience,positive
1707,Five stars 👍,positive
1708,"Just saying, Will buy again",positive
1709,I love this product because shipping was fast 👍,positive
1710,Worst purchase ever terrible!,negative
1711,Absolutely fantastic experience because shipping was fast,positive
1712,Worst purchase ever dislike,negative
1713,Best purchase ever so good,positive
1714,This made my day,positive
1715,Best purchase ever,positive
1716,Will buy again as the quality is great 😊,positive
1717,Note: Awful quality horrible,negative
1718,Very disappointed dislike,negative
1719,I love this product 👍,positive
1720,Note: Five stars,positive
1721,Standard ok,neutral
1722,I hate this so shipping was fast,negative
1723,Terrible experience,negative
1724,Will buy again,positive
1725,Would not recommend 😡,negative
1726,So happy with the service because packaging was good amazing,positive
1727,This ruined my day as packaging was good dislike,negative
1728,So happy with the service 👍,positive
1729,This ruined my day,negative
1730,Absolutely fantastic experience as it works well loved it,positive
1731,Exceeded my expectations because the quality is great,positive
1732,I love this product so packaging was good amazing,positive
1733,So happy with the service pleasant,positive
1734,I love this product 👍,positive
1735,Absolutely fantastic experience as packaging was good pleasant,positive
1736,Five stars loved it,positive
1737,Five stars loved it,positive
1738,I love this product because packaging was good amazing,positive
1739,Will buy again,positive
1740,Top quality and great value because shipping was fast,positive
1741,Neutral experience,neutral
1742,Never buying again,negative
1743,Exceeded my expectations,positive
1744,Top quality and great value because customer service helped pleasant,positive
1745,This made my day 😊,positive
1746,No strong feelings as packaging was good,neutral
1747,Completely unsatisfied so the quality is great,negative
1748,Will buy again so packaging was good,positive
1749,This ruined my day and shipping was fast 😡,negative
1750,"FYI, Worst purchase ever",negative
1751,Will buy again 👍,positive
1752,Five stars because it works well pleasant,positive
1753,Five stars so packaging was good loved it,positive
1754,This ruined my day,negative
1755,This made my day,positive
1756,One star so the quality is great,negative
1757,Never buying again and packaging was good,negative
1758,This ruined my day,negative
1759,Average product so customer service helped so-so,neutral
1760,One star so customer service helped,negative
1761,Best purchase ever amazing,positive
1762,Highly recommend it as shipping was fast 😊,positive
1763,Standard,neutral
1764,Best purchase ever,positive
1765,I hate this,negative
1766,I love this product as packaging was good great!,positive
1767,Very disappointed,negative
1768,Five stars 😊,positive
1769,Terrible experience,negative
1770,Absolutely fantastic experience as customer service helped so good,positive
1771,This ruined my day 👎,negative
1772,This ruined my day and it works well awful,negative
1773,Neutral experience because shipping was fast,neutral
1774,Best purchase ever amazing,positive
1775,I hate this awful,negative
1776,Five stars,positive
1777,This made my day,positive
1778,Best purchase ever,positive
1779,Completely unsatisfied so customer service helped 👎,negative
1780,Very disappointed 😡,negative
1781,Exceeded my expectations,positive
1782,Highly recommend it pleasant,positive
1783,Worst purchase ever as packaging was good horrible,negative
1784,This made my day as shipping was fast great!,positive
1785,Note: I love this product because customer service helped,positive
1786,Top quality and great value,positive
1787,"Just saying, Top quality and great value amazing",positive
1788,Five stars as customer service helped,positive
1789,Never buying again because the quality is great,negative
1790,Very disappointed,negative
1791,Best purchase ever 👍,positive
1792,"Just saying, Never buying again so it works well dislike",negative
1793,Worst purchase ever and shipping was fast,negative
1794,Very disappointed awful,negative
1795,One star because it works well,negative
1796,Top quality and great value,positive
1797,Very disappointed because it works well so bad,negative
1798,Five stars so packaging was good loved it,positive
1799,Worst purchase ever so shipping was fast,negative
1800,Awful quality and shipping was fast,negative
1801,Terrible experience horrible,negative
1802,Will buy again so packaging was good 😊,positive
1803,Never buying again,negative
1804,Very disappointed,negative
1805,Top quality and great value,positive
1806,Will buy again,positive
1807,This ruined my day awful,negative
1808,Average product .,neutral
1809,Would not recommend 😡,negative
1810,It was okay so-so,neutral
1811,Never buying again 👎,negative
1812,So happy with the service,positive
1813,Would not recommend because packaging was good,negative
1814,Awful quality,negative
1815,Would not recommend so it works well 😡,negative
1816,I love this product because the quality is great,positive
1817,"Just saying, I love this product",positive
1818,Worst purchase ever and the quality is great horrible,negative
1819,So happy with the service so customer service helped,positive
1820,Top quality and great value because customer service helped amazing,positive
1821,Completely unsatisfied awful,negative
1822,Very disappointed,negative
1823,Neutral experience because the quality is great so-so,neutral
1824,I love this product and the quality is great,positive
1825,This ruined my day and the quality is great,negative
1826,Exceeded my expectations as packaging was good amazing,positive
1827,Neither good nor bad,neutral
1828,Very disappointed,negative
1829,I love this product,positive
1830,Five stars because shipping was fast so good,positive
1831,This made my day loved it,positive
1832,Note: Neither good nor bad ok,neutral
1833,One star as customer service helped,negative
1834,Awful quality,negative
1835,Never buying again 👎,negative
1836,Would not recommend terrible!,negative
1837,Exceeded my expectations 👍,positive
1838,Best purchase ever,positive
1839,This ruined my day awful,negative
1840,I love this product pleasant,positive
1841,Best purchase ever,positive
1842,Exceeded my expectations because packaging was good so good,positive
1843,I hate this as it works well awful,negative
1844,Exceeded my expectations and the quality is great,positive
1845,I hate this,negative
1846,Absolutely fantastic experience,positive
1847,Worst purchase ever,negative
1848,So happy with the service because packaging was good 😊,positive
1849,Best purchase ever as customer service helped,positive
1850,Completely unsatisfied so the quality is great horrible,negative
1851,Top quality and great value so customer service helped,positive
1852,This made my day,positive
1853,Terrible experience 😡,negative
1854,Absolutely fantastic experience,positive
1855,This ruined my day so packaging was good,negative
1856,This made my day great!,positive
1857,Absolutely fantastic experience as customer service helped amazing,positive
1858,Top quality and great value,positive
1859,Best purchase ever as packaging was good so good,positive
1860,Best purchase ever,positive
1861,So happy with the service 👍,positive
1862,So happy with the service,positive
1863,Top quality and great value loved it,positive
1864,Absolutely fantastic experience because customer service helped 😊,positive
1865,Worst purchase ever 👎,negative
1866,One star because the quality is great,negative
1867,Exceeded my expectations and shipping was fast,positive
1868,Exceeded my expectations,positive
1869,Terrible experience as the quality is great dislike,negative
1870,One star,negative
1871,Completely unsatisfied because the quality is great dislike,negative
1872,Top quality and great value,positive
1873,Best purchase ever as shipping was fast great!,positive
1874,So happy with the service so it works well great!,positive
1875,Will buy again 👍,positive
1876,One star dislike,negative
1877,Awful quality so shipping was fast,negative
1878,Absolutely fantastic experience,positive
1879,Exceeded my expectations,positive
1880,Highly recommend it,positive
1881,Would not recommend as the quality is great,negative
1882,One star as it works well terrible!,negative
1883,Top quality and great value loved it,positive
1884,I hate this dislike,negative
1885,So happy with the service,positive
1886,Five stars and packaging was good so good,positive
1887,Very disappointed so packaging was good horrible,negative
1888,Satisfactory ok,neutral
1889,Absolutely fantastic experience and customer service helped,positive
1890,I love this product as it works well,positive
1891,Best purchase ever,positive
1892,Worst purchase ever awful,negative
1893,Note: One star because customer service helped,negative
1894,Neither good nor bad so the quality is great alright,neutral
1895,Exceeded my expectations,positive
1896,I love this product amazing,positive
1897,Awful quality,negative
1898,Will buy again as customer service helped great!,positive
1899,Awful quality because shipping was fast 👎,negative
1900,Terrible experience,negative
1901,"Just saying, Will buy again as customer service helped great!",positive
1902,Note: Completely unsatisfied so shipping was fast,negative
1903,Awful quality awful,negative
1904,Terrible experience because the quality is great,negative
1905,Highly recommend it,positive
1906,This ruined my day awful,negative
1907,Terrible experience,negative
1908,Never buying again horrible,negative
1909,Very disappointed horrible,negative
1910,Will buy again,positive
1911,"FYI, Terrible experience so shipping was fast so bad",negative
1912,Top quality and great value amazing,positive
1913,It works as expected alright,neutral
1914,It was okay,neutral
1915,Worst purchase ever dislike,negative
1916,Exceeded my expectations,positive
1917,I love this product so shipping was fast amazing,positive
1918,Highly recommend it,positive
1919,This ruined my day,negative
1920,Terrible experience and shipping was fast,negative
1921,Terrible experience,negative
1922,Note: Completely unsatisfied,negative
1923,I hate this so it works well so bad,negative
1924,Awful quality 😡,negative
1925,Completely unsatisfied 😡,negative
1926,Would not recommend,negative
1927,Absolutely fantastic experience,positive
1928,This ruined my day so customer service helped,negative
1929,Note: Completely unsatisfied because the quality is great,negative
1930,Very disappointed because packaging was good,negative
1931,So happy with the service because the quality is great,positive
1932,Note: Best purchase ever because packaging was good amazing,positive
1933,Never buying again,negative
1934,Highly recommend it,positive
1935,Exceeded my expectations,positive
1936,One star and customer service helped 😡,negative
1937,Absolutely fantastic experience great!,positive
1938,I hate this,negative
1939,Worst purchase ever 👎,negative
1940,This made my day amazing,positive
1941,Terrible experience awful,negative
1942,Highly recommend it,positive
1943,Awful quality as packaging was good so bad,negative
1944,"FYI, Terrible experience dislike",negative
1945,"Just saying, Top quality and great value pleasant",positive
1946,Exceeded my expectations and shipping was fast amazing,positive
1947,Very disappointed,negative
1948,Exceeded my expectations pleasant,positive
1949,I hate this so packaging was good so bad,negative
1950,Never buying again as customer service helped,negative
1951,Will buy again,positive
1952,Would not recommend awful,negative
1953,Note: Absolutely fantastic experience,positive
1954,Will buy again 👍,positive
1955,Will buy again so it works well,positive
1956,Highly recommend it because shipping was fast,positive
1957,Would not recommend so packaging was good,negative
1958,So happy with the service,positive
1959,This made my day,positive
1960,Top quality and great value so it works well,positive
1961,It works as expected alright,neutral
1962,Note: Best purchase ever as customer service helped,positive
1963,This ruined my day,negative
1964,Awful quality 😡,negative
1965,"Just saying, Completely unsatisfied",negative
1966,Exceeded my expectations so it works well so good,positive
1967,Awful quality 😡,negative
1968,Five stars,positive
1969,Never buying again because customer service helped,negative
1970,Will buy again,positive
1971,This ruined my day horrible,negative
1972,Would not recommend because shipping was fast 😡,negative
1973,Very disappointed,negative
1974,"Just saying, One star so it works well",negative
1975,Top quality and great value amazing,positive
1976,Will buy again,positive
1977,Completely unsatisfied and packaging was good awful,negative
1978,Exceeded my expectations,positive
1979,One star so bad,negative
1980,Highly recommend it amazing,positive
1981,Note: One star dislike,negative
1982,Best purchase ever because customer service helped,positive
1983,Never buying again,negative
1984,This ruined my day,negative
1985,Highly recommend it because it works well amazing,positive
1986,Highly recommend it,positive
1987,Best purchase ever 😊,positive
1988,Best purchase ever great!,positive
1989,It was okay,neutral
1990,Exceeded my expectations pleasant,positive
1991,Terrible experience,negative
1992,Would not recommend terrible!,negative
1993,This made my day 👍,positive
1994,Note: So happy with the service,positive
1995,One star dislike,negative
1996,One star,negative
1997,One star dislike,negative
1998,I hate this because the quality is great,negative
1999,Exceeded my expectations pleasant,positive
2000,Very disappointed so the quality is great 😡,negative
2001,"Not bad, not great and the quality is great ",neutral
2002,Very disappointed 👎,negative
2003,Note: I hate this terrible!,negative
2004,"FYI, Never buying again and it works well 😡",negative
2005,Exceeded my expectations amazing,positive
2006,I hate this so customer service helped so bad,negative
2007,Average product,neutral
2008,Best purchase ever,positive
2009,Terrible experience awful,negative
2010,Highly recommend it so good,positive
2011,Never buying again,negative
2012,This ruined my day,negative
2013,It was okay,neutral
2014,Note: Would not recommend and the quality is great dislike,negative
2015,This ruined my day so shipping was fast,negative
2016,Exceeded my expectations as packaging was good,positive
2017,Very disappointed so packaging was good 👎,negative
2018,Will buy again as shipping was fast,positive
2019,Best purchase ever,positive
2020,Would not recommend terrible!,negative
2021,Satisfactory because the quality is great,neutral
2022,This made my day,positive
2023,I hate this 😡,negative
2024,"Not bad, not great and the quality is great",neutral
2025,Highly recommend it,positive
2026,I love this product,positive
2027,No strong feelings ,neutral
2028,Absolutely fantastic experience as the quality is great,positive
2029,It was okay alright,neutral
2030,Worst purchase ever because shipping was fast 😡,negative
2031,Best purchase ever great!,positive
2032,"FYI, Would not recommend because customer service helped",negative
2033,Never buying again so the quality is great,negative
2034,Top quality and great value pleasant,positive
2035,So happy with the service pleasant,positive
2036,Exceeded my expectations so good,positive
2037,Very disappointed and it works well,negative
2038,This ruined my day so shipping was fast so bad,negative
2039,Very disappointed,negative
2040,Very disappointed 👎,negative
2041,Completely unsatisfied,negative
2042,Exceeded my expectations,positive
2043,One star and packaging was good,negative
2044,Absolutely fantastic experience because customer service helped,positive
2045,One star so bad,negative
2046,Completely unsatisfied terrible!,negative
2047,One star awful,negative
2048,This ruined my day so it works well,negative
2049,This made my day because customer service helped 👍,positive
2050,Very disappointed awful,negative
2051,This ruined my day,negative
2052,Exceeded my expectations amazing,positive
2053,Note: Worst purchase ever as it works well,negative
2054,Exceeded my expectations,positive
2055,Awful quality so customer service helped,negative
2056,Absolutely fantastic experience as packaging was good,positive
2057,Never buying again and the quality is great so bad,negative
2058,One star dislike,negative
2059,"FYI, Five stars as packaging was good",positive
2060,I love this product because customer service helped 😊,positive
2061,Neutral experience ,neutral
2062,I love this product great!,positive
2063,Completely unsatisfied because packaging was good,negative
2064,One star,negative
2065,Very disappointed 😡,negative
2066,"Just saying, Highly recommend it because packaging was good",positive
2067,Never buying again because customer service helped,negative
2068,"Just saying, Worst purchase ever",negative
2069,Top quality and great value,positive
2070,Never buying again,negative
2071,Terrible experience so bad,negative
2072,I love this product so good,positive
2073,Five stars so customer service helped,positive
2074,Top quality and great value,positive
2075,Completely unsatisfied and packaging was good horrible,negative
2076,Absolutely fantastic experience,positive
2077,Worst purchase ever,negative
2078,I hate this 👎,negative
2079,Five stars,positive
2080,Exceeded my expectations as the quality is great loved it,positive
2081,So happy with the service great!,positive
2082,"Just saying, Absolutely fantastic experience and packaging was good amazing",positive
2083,This made my day and packaging was good loved it,positive
2084,Top quality and great value,positive
2085,Top quality and great value,positive
2086,Highly recommend it,positive
2087,Would not recommend,negative
2088,Never buying again,negative
2089,Neither good nor bad because packaging was good,neutral
2090,Completely unsatisfied as shipping was fast,negative
2091,"FYI, Exceeded my expectations",positive
2092,Best purchase ever pleasant,positive
2093,Exceeded my expectations,positive
2094,Terrible experience so bad,negative
2095,Completely unsatisfied,negative
2096,Very disappointed so the quality is great so bad,negative
2097,Absolutely fantastic experience loved it,positive
2098,Very disappointed,negative
2099,I hate this 👎,negative
2100,Completely unsatisfied,negative
2101,I hate this dislike,negative
2102,Five stars,positive
2103,I love this product 😊,positive
2104,Terrible experience awful,negative
2105,Five stars and customer service helped 😊,positive
2106,It works as expected,neutral
2107,Five stars because packaging was good so good,positive
2108,Standard,neutral
2109,Neither good nor bad alright,neutral
2110,"Just saying, Worst purchase ever awful",negative
2111,Exceeded my expectations because it works well,positive
2112,Fine for the price as the quality is great,neutral
2113,One star as customer service helped,negative
2114,One star,negative
2115,Awful quality and shipping was fast 👎,negative
2116,Would not recommend and the quality is great dislike,negative
2117,Top quality and great value,positive
2118,Neutral experience .,neutral
2119,So happy with the service 😊,positive
2120,Five stars as packaging was good 😊,positive
2121,Exceeded my expectations so it works well,positive
2122,Highly recommend it as it works well 👍,positive
2123,Completely unsatisfied,negative
2124,Absolutely fantastic experience 👍,positive
2125,"Just saying, Completely unsatisfied because it works well",negative
2126,Awful quality,negative
2127,Awful quality terrible!,negative
2128,Exceeded my expectations,positive
2129,Worst purchase ever because shipping was fast,negative
2130,I love this product 👍,positive
2131,Never buying again,negative
2132,Worst purchase ever terrible!,negative
2133,One star so bad,negative
2134,Worst purchase ever because packaging was good horrible,negative
2135,This ruined my day,negative
2136,So happy with the service because shipping was fast so good,positive
2137,Standard ok,neutral
2138,"FYI, Five stars great!",positive
2139,Highly recommend it because shipping was fast,positive
2140,This made my day,positive
2141,It works as expected,neutral
2142,"FYI, I hate this",negative
2143,It was okay and customer service helped,neutral
2144,Worst purchase ever and customer service helped,negative
2145,Fine for the price,neutral
2146,Will buy again because the quality is great amazing,positive
2147,Will buy again loved it,positive
2148,"FYI, Average product alright",neutral
2149,"Just saying, Five stars pleasant",positive
2150,It works as expected,neutral
2151,Awful quality,negative
2152,It works as expected because packaging was good alright,neutral
2153,Best purchase ever so good,positive
2154,"Just saying, This ruined my day",negative
2155,Highly recommend it as the quality is great,positive
2156,"FYI, It was okay",neutral
2157,Very disappointed 👎,negative
2158,Fine for the price .,neutral
2159,Standard and customer service helped alright,neutral
2160,So happy with the service pleasant,positive
2161,No strong feelings ok,neutral
2162,"Just saying, Awful quality and shipping was fast",negative
2163,Satisfactory ,neutral
2164,Absolutely fantastic experience and the quality is great,positive
2165,Absolutely fantastic experience and customer service helped,positive
2166,Exceeded my expectations so good,positive
2167,"Just saying, Highly recommend it and the quality is great 👍",positive
2168,I love this product so good,positive
2169,Worst purchase ever so bad,negative
2170,Top quality and great value 😊,positive
2171,"FYI, Best purchase ever because it works well",positive
2172,Worst purchase ever as packaging was good so bad,negative
2173,This made my day,positive
2174,Neither good nor bad because it works well alright,neutral
2175,Completely unsatisfied so bad,negative
2176,I hate this,negative
2177,This ruined my day,negative
2178,This ruined my day,negative
2179,Note: Awful quality because the quality is great,negative
2180,Exceeded my expectations so shipping was fast,positive
2181,Five stars 😊,positive
2182,Highly recommend it and shipping was fast,positive
2183,Top quality and great value 👍,positive
2184,This made my day so shipping was fast pleasant,positive
2185,Worst purchase ever so shipping was fast horrible,negative
2186,It was okay and it works well,neutral
2187,Would not recommend so the quality is great 👎,negative
2188,This ruined my day,negative
2189,Highly recommend it loved it,positive
2190,This ruined my day 👎,negative
2191,Best purchase ever,positive
2192,Fine for the price,neutral
2193,Best purchase ever,positive
2194,Worst purchase ever,negative
2195,Top quality and great value amazing,positive
2196,Highly recommend it great!,positive
2197,Neither good nor bad so the quality is great,neutral
2198,I love this product 👍,positive
2199,Awful quality,negative
2200,This ruined my day,negative
2201,Completely unsatisfied 👎,negative
2202,Will buy again so shipping was fast,positive
2203,Best purchase ever and it works well,positive
2204,Exceeded my expectations,positive
2205,Highly recommend it,positive
2206,So happy with the service so customer service helped 😊,positive
2207,I love this product,positive
2208,Five stars,positive
2209,This made my day,positive
2210,Top quality and great value and the quality is great 👍,positive
2211,Highly recommend it pleasant,positive
2212,Absolutely fantastic experience,positive
2213,Never buying again,negative
2214,Terrible experience 👎,negative
2215,Worst purchase ever and it works well,negative
2216,I hate this because the quality is great,negative
2217,Note: Five stars,positive
2218,"FYI, One star awful",negative
2219,I hate this and packaging was good,negative
2220,One star and packaging was good awful,negative
2221,Best purchase ever 😊,positive
2222,Absolutely fantastic experience great!,positive
2223,"FYI, Never buying again 👎",negative
2224,Worst purchase ever as the quality is great,negative
2225,I love this product pleasant,positive
2226,Very disappointed because customer service helped so bad,negative
2227,Five stars great!,positive
2228,Worst purchase ever and it works well,negative
2229,Very disappointed terrible!,negative
2230,Average product because the quality is great,neutral
2231,"FYI, So happy with the service pleasant",positive
2232,So happy with the service,positive
2233,Average product,neutral
2234,Exceeded my expectations and it works well,positive
2235,Never buying again and packaging was good so bad,negative
2236,Five stars great!,positive
2237,"FYI, Would not recommend",negative
2238,Neither good nor bad,neutral
2239,So happy with the service so good,positive
2240,I love this product,positive
2241,Fine for the price,neutral
2242,Absolutely fantastic experience great!,positive
2243,This made my day,positive
2244,One star so customer service helped dislike,negative
2245,Note: Exceeded my expectations great!,positive
2246,This ruined my day,negative
2247,Would not recommend horrible,negative
2248,This made my day,positive
2249,Would not recommend,negative
2250,Five stars,positive
2251,Completely unsatisfied because the quality is great,negative
2252,This ruined my day,negative
2253,Five stars as shipping was fast,positive
2254,Exceeded my expectations because it works well,positive
2255,Awful quality and customer service helped terrible!,negative
2256,"FYI, Absolutely fantastic experience 👍",positive
2257,Absolutely fantastic experience so it works well loved it,positive
2258,Top quality and great value so customer service helped great!,positive
2259,Standard,neutral
2260,This ruined my day so shipping was fast,negative
2261,Top quality and great value so good,positive
2262,Note: I love this product,positive
2263,Terrible experience and shipping was fast dislike,negative
2264,"Just saying, It was okay so the quality is great",neutral
2265,I love this product amazing,positive
2266,Top quality and great value and customer service helped,positive
2267,Awful quality because it works well dislike,negative
2268,Terrible experience so the quality is great horrible,negative
2269,Would not recommend 😡,negative
2270,Completely unsatisfied terrible!,negative
2271,Average product because the quality is great,neutral
2272,Awful quality,negative
2273,Note: This ruined my day terrible!,negative
2274,One star and customer service helped,negative
2275,Never buying again,negative
2276,Highly recommend it because the quality is great amazing,positive
2277,Absolutely fantastic experience,positive
2278,I love this product because customer service helped so good,positive
2279,Will buy again so good,positive
2280,Very disappointed 😡,negative
2281,Note: Worst purchase ever 😡,negative
2282,Never buying again so bad,negative
2283,"FYI, Terrible experience",negative
2284,Five stars 😊,positive
2285,Five stars as shipping was fast so good,positive
2286,Exceeded my expectations,positive
2287,Top quality and great value,positive
